symbol,sim_dir,day,png,png_path,total_pnl,realized_pnl,unrealized_pnl,traded_volume,final_position,mark_notional_usdt,cost_notional_usdt,status,pnls,sharpes,calmars,max_drawdown,annual_return,calmar,sharpe,daily_turnover,spnl
BTCUSDT,sim__asi1x1__bp5x10__bu10x5__cc1x1x1__css2__cdt0__dp1__ewmi0p01__isk0x1__lat2__mfm3em05__mhtm1__mp100000__mon100__moq0__mqdb0__md0__oc1x1x1__pp1__qp3__sm1__sl5000__stm0__tf0p00025,2025-01-11,2025-01-11.png,/home/kang/glftmm_tick/plot/BTCUSDT/sim__asi1x1__bp5x10__bu10x5__cc1x1x1__css2__cdt0__dp1__ewmi0p01__isk0x1__lat2__mfm3em05__mhtm1__mp100000__mon100__moq0__mqdb0__md0__oc1x1x1__pp1__qp3__sm1__sl5000__stm0__tf0p00025/2025-01-11.png,298.31845514975817,298.4644694354722,-0.1460142857140454,1038178.6247000004,0.04599999999999999,4349.872699999999,4350.018714285713,exists,,,,,,,,,
BTCUSDT,sim__asi1x1__bp5x10__bu10x5__cc1x1x1__css2__cdt0__dp1__ewmi0p01__isk0x1__lat2__mfm3em05__mhtm1__mp100000__mon100__moq0__mqdb0__md0__oc1x1x1__pp1__qp3__sm1__sl5000__stm0__tf0p00025,2025-01-12,2025-01-12.png,/home/kang/glftmm_tick/plot/BTCUSDT/sim__asi1x1__bp5x10__bu10x5__cc1x1x1__css2__cdt0__dp1__ewmi0p01__isk0x1__lat2__mfm3em05__mhtm1__mp100000__mon100__moq0__mqdb0__md0__oc1x1x1__pp1__qp3__sm1__sl5000__stm0__tf0p00025/2025-01-12.png,-147.24284684573178,-41.36642136198027,-105.87642548375152,1302797.3737000017,-0.5130000000000002,-48478.47435000002,-48372.59792451627,exists,,,,,,,,,
BTCUSDT,sim__asi1x1__bp5x10__bu10x5__cc1x1x1__css2__cdt0__dp1__ewmi0p01__isk0x1__lat2__mfm3em05__mhtm1__mp100000__mon100__moq0__mqdb0__md0__oc1x1x1__pp1__qp3__sm1__sl5000__stm0__tf0p00025,2025-01-13,2025-01-13.png,/home/kang/glftmm_tick/plot/BTCUSDT/sim__asi1x1__bp5x10__bu10x5__cc1x1x1__css2__cdt0__dp1__ewmi0p01__isk0x1__lat2__mfm3em05__mhtm1__mp100000__mon100__moq0__mqdb0__md0__oc1x1x1__pp1__qp3__sm1__sl5000__stm0__tf0p00025/2025-01-13.png,-5089.307698295415,-4773.9565914667255,-315.3511068286898,9462039.264199976,-1.0080000000000018,-95241.83760000016,-94926.48649317147,written,-5089.307698295415,,,,-1857597.3098778266,,,9462039.264199976,-0.0005378658401419898
BTCUSDT,sim__asi1x1__bp5x10__bu10x5__cc1x1x1__css2__cdt0__dp1__ewmi0p01__isk0x1__lat2__mfm3em05__mhtm1__mp100000__mon100__moq0__mqdb0__md0__oc1x1x1__pp1__qp3__sm1__sl5000__stm0__tf0p00025,2025-01-14,2025-01-14.png,/home/kang/glftmm_tick/plot/BTCUSDT/sim__asi1x1__bp5x10__bu10x5__cc1x1x1__css2__cdt0__dp1__ewmi0p01__isk0x1__lat2__mfm3em05__mhtm1__mp100000__mon100__moq0__mqdb0__md0__oc1x1x1__pp1__qp3__sm1__sl5000__stm0__tf0p00025/2025-01-14.png,1551.2956285121559,1542.7711565341338,8.52447197802212,5465707.899799993,-0.09999999999999988,-9651.494999999988,-9660.01947197801,exists,,,,,,,,,
BTCUSDT,sim__asi1x1__bp5x10__bu10x5__cc1x1x1__css2__cdt0__dp1__ewmi0p01__isk0x1__lat2__mfm3em05__mhtm1__mp100000__mon100__moq0__mqdb0__md0__oc1x1x1__pp1__qp3__sm1__sl5000__stm0__tf0p00025,2025-01-15,2025-01-15.png,/home/kang/glftmm_tick/plot/BTCUSDT/sim__asi1x1__bp5x10__bu10x5__cc1x1x1__css2__cdt0__dp1__ewmi0p01__isk0x1__lat2__mfm3em05__mhtm1__mp100000__mon100__moq0__mqdb0__md0__oc1x1x1__pp1__qp3__sm1__sl5000__stm0__tf0p00025/2025-01-15.png,-581.3973863208386,-160.8576144777336,-420.539771843105,5373663.123100019,-0.7420000000000024,-74541.35710000024,-74120.81732815714,exists,,,,,,,,,
BTCUSDT,sim__asi1x1__bp5x10__bu10x5__cc1x1x1__css2__cdt0__dp1__ewmi0p01__isk0x1__lat2__mfm3em05__mhtm1__mp100000__mon100__moq0__mqdb0__md0__oc1x1x1__pp1__qp3__sm1__sl5000__stm0__tf0p00025,2025-01-16,2025-01-16.png,/home/kang/glftmm_tick/plot/BTCUSDT/sim__asi1x1__bp5x10__bu10x5__cc1x1x1__css2__cdt0__dp1__ewmi0p01__isk0x1__lat2__mfm3em05__mhtm1__mp100000__mon100__moq0__mqdb0__md0__oc1x1x1__pp1__qp3__sm1__sl5000__stm0__tf0p00025/2025-01-16.png,-362.67368498673846,-349.93397271892997,-12.7397122678085,4996664.475899999,-0.40000000000000013,-39974.98000000001,-39962.2402877322,exists,,,,,,,,,
BTCUSDT,sim__asi1x1__bp5x10__bu10x5__cc1x1x1__css2__cdt0__dp1__ewmi0p01__isk0x1__lat2__mfm3em05__mhtm1__mp100000__mon100__moq0__mqdb0__md0__oc1x1x1__pp1__qp3__sm1__sl5000__stm0__tf0p00025,2025-01-17,2025-01-17.png,/home/kang/glftmm_tick/plot/BTCUSDT/sim__asi1x1__bp5x10__bu10x5__cc1x1x1__css2__cdt0__dp1__ewmi0p01__isk0x1__lat2__mfm3em05__mhtm1__mp100000__mon100__moq0__mqdb0__md0__oc1x1x1__pp1__qp3__sm1__sl5000__stm0__tf0p00025/2025-01-17.png,-1906.4483942332363,-1912.8611318764029,6.412737643166565,2741773.988599989,-0.02399999999999996,-2497.0211999999956,-2503.433937643162,exists,,,,,,,,,
BTCUSDT,sim__asi1x1__bp5x10__bu10x5__cc1x1x1__css2__cdt0__dp1__ewmi0p01__isk0x1__lat2__mfm3em05__mhtm1__mp100000__mon100__moq0__mqdb0__md0__oc1x1x1__pp1__qp3__sm1__sl5000__stm0__tf0p00025,2025-01-18,2025-01-18.png,/home/kang/glftmm_tick/plot/BTCUSDT/sim__asi1x1__bp5x10__bu10x5__cc1x1x1__css2__cdt0__dp1__ewmi0p01__isk0x1__lat2__mfm3em05__mhtm1__mp100000__mon100__moq0__mqdb0__md0__oc1x1x1__pp1__qp3__sm1__sl5000__stm0__tf0p00025/2025-01-18.png,1064.7628438166294,1022.1650595127186,42.597784303910885,2067812.4399999946,0.17900000000000005,18709.858650000006,18667.260865696095,exists,,,,,,,,,
BTCUSDT,sim__asi1x1__bp5x10__bu10x5__cc1x1x1__css2__cdt0__dp1__ewmi0p01__isk0x1__lat2__mfm3em05__mhtm1__mp100000__mon100__moq0__mqdb0__md0__oc1x1x1__pp1__qp3__sm1__sl5000__stm0__tf0p00025,2025-01-19,2025-01-19.png,/home/kang/glftmm_tick/plot/BTCUSDT/sim__asi1x1__bp5x10__bu10x5__cc1x1x1__css2__cdt0__dp1__ewmi0p01__isk0x1__lat2__mfm3em05__mhtm1__mp100000__mon100__moq0__mqdb0__md0__oc1x1x1__pp1__qp3__sm1__sl5000__stm0__tf0p00025/2025-01-19.png,-321.2486166346644,-328.90831103412717,7.659694399462751,4704203.063200012,0.18999999999999964,19249.194499999965,19241.534805600502,written,-321.2486166346644,,,,-117255.7450716525,,,4704203.063200012,-6.828970015085543e-05
BTCUSDT,sim__asi1x1__bp5x10__bu10x5__cc1x1x1__css2__cdt0__dp1__ewmi0p01__isk0x1__lat2__mfm3em05__mhtm1__mp100000__mon100__moq0__mqdb0__md0__oc1x1x1__pp1__qp3__sm1__sl5000__stm0__tf0p00025,2025-01-20,2025-01-20.png,/home/kang/glftmm_tick/plot/BTCUSDT/sim__asi1x1__bp5x10__bu10x5__cc1x1x1__css2__cdt0__dp1__ewmi0p01__isk0x1__lat2__mfm3em05__mhtm1__mp100000__mon100__moq0__mqdb0__md0__oc1x1x1__pp1__qp3__sm1__sl5000__stm0__tf0p00025/2025-01-20.png,526.8524684550142,531.8267591842581,-4.974290729243876,18456584.277199935,-0.1539999999999998,-15745.66069999998,-15740.686409270736,written,526.8524684550142,,,,192301.1509860802,,,18456584.277199935,2.854550227399625e-05
